payload_mb,bandwidth_mbps,total_ms,total_ms_std,generation_ms,generation_ms_std,publication_ms,publication_ms_std
10,100,6345.1542,99.77449353171933,1659.7602000000002,97.1708804790132,4685.3935,8.580193124607307
10,200,4208.0722000000005,67.96012687320577,1656.2558000000001,67.55977850730088,2551.8158000000003,3.9387820396102398
10,500,2995.8170999999998,148.55217852806237,1694.8329,148.3348559221107,1300.9839,2.1485898967565618
10,800,2634.7974000000004,71.93976313741001,1632.9416,72.93960177541108,1001.8551000000001,4.6761540096774175
10,1000,2683.0699,147.67953846491773,1743.2872000000002,151.05203406685177,939.7822000000002,15.286479020508414
100,100,14360.790099999998,64.6675318833009,1772.3466999999996,64.12301966108234,12588.4431,3.7723160127433
100,200,8273.4735,102.70347113278227,1769.2203999999997,100.6669935471514,6504.2526,5.5215174886781435
100,500,4660.733,68.86511525035343,1769.9485999999997,72.86219323596804,2890.7839000000004,22.26990158861659
100,800,3741.8667,80.33905242719771,1746.7097999999999,78.26241139028505,1995.1562,6.9582441878521175
100,1000,3499.1485000000002,66.64511090886973,1753.6375,75.14032521629855,1745.5104999999999,26.65176072253222
200,100,23238.1262,53.057373233132985,1856.4286,53.660846643422296,21381.6974,4.1501309805302755
200,200,12793.865300000001,65.03292561643931,1882.7909000000004,68.79494885277231,10911.0737,28.92555404271078
200,500,6510.8907,79.56637630592179,1866.5583000000001,79.15400089424833,4644.3319,7.437203364019041
200,800,4923.319299999999,87.0360111997711,1827.8478,81.32057399343799,3095.4709000000003,6.787509287081824
200,1000,4453.117400000001,75.18926826231399,1808.3091,65.42877369484398,2644.808,39.42785839423133
500,100,49890.464400000004,64.15035305038316,2117.6423,63.416605501591185,47772.8219,4.108104738739262
500,200,26209.6816,97.19468692520664,2114.9391,93.23290935840917,24094.742000000002,5.811746859211693
500,500,12066.129,76.49628055881779,2146.6265,76.22264898928951,9919.502199999999,3.2094632573063984
500,800,8494.902699999999,78.89872368077704,2102.3641,81.23627732929555,6392.5381,4.446145932777489
500,1000,7493.6939,81.4090746722312,2136.3495,75.52637031784917,5357.3437,38.40243448315918
1000,100,94377.29560000001,82.646742359947,2625.5258999999996,83.08325094539546,91751.7691,2.7659587226774707
1000,200,48704.1062,49.82202198225216,2617.8251999999998,49.43035536276164,46086.2804,4.869231474837643
1000,500,21321.988400000002,75.8185477515596,2604.8297,75.85973969116361,18717.158000000003,5.633471398702626
1000,800,14554.069599999999,100.16148709314938,2658.8597,97.80789577653398,11895.209100000002,13.793323992666341
1000,1000,12456.4709,104.81658685156235,2650.1038,77.9000502792592,9806.3667,62.31373820176227
