payload_mb,bandwidth_mbps,total_ms,total_ms_std,generation_ms,generation_ms_std,publication_ms,publication_ms_std
10,100,6334.904,49.69290657405516,1787.8021,49.48375011938545,4547.1015,4.650757889252513
10,150,4973.1625,92.08699561374925,1805.3844000000001,90.49635079468976,3167.7776,3.675104600174393
10,200,4261.1582,73.66614620902118,1775.4289999999996,74.36133966428166,2485.7287,2.3068151710385263
10,300,3631.1825,92.62437073740367,1827.5258,93.55421961004456,1803.6559000000002,4.504709793340987
10,500,3121.5333,61.426979394779536,1843.8261000000002,62.74931306830735,1277.7066,4.276957101076009
10,700,2811.3860999999997,90.2623225018796,1751.9118999999998,89.47042629886144,1059.474,6.413368312447905
10,1000,2852.2841999999996,81.01094076014944,1885.3946,79.95263208258585,966.8888999999999,26.68954401779428
50,100,9908.5033,102.539909223515,1851.9946,104.29536655330804,8056.508300000001,4.548507106732945
50,150,7337.7498000000005,107.51451495578524,1831.141,107.23530889590423,5506.608,2.346308542749158
50,200,6090.3479,57.02675080160949,1851.1937000000003,57.07509417337829,4239.1536,1.9028929554759395
50,300,4792.6187,47.81737359544823,1814.6286,49.52565435138979,2977.99,7.338851817552896
50,500,3863.79,59.2809721730149,1884.4659,58.52447503101206,1979.3235000000004,7.1809653212116835
50,700,3420.743,79.89167556274064,1861.8997,78.2937075803527,1558.8425999999997,4.948959648249288
50,1000,3219.5506,75.81323576497414,1852.5127999999997,68.8277334458203,1367.0371,31.15708673248441
100,100,14321.648700000002,122.5351957285472,1866.613,122.60904269805442,12455.035199999998,5.760119188581785
100,150,10325.2911,118.06132852646293,1886.613,117.1352764323749,8438.677500000002,3.1293802102015973
100,200,8263.862299999999,111.75201655853877,1826.0243999999998,110.58602484260332,6437.8375,2.8789539091677065
100,300,6304.4745,84.26081008953344,1862.1299999999997,87.72393280564255,4442.344300000001,4.745679580184256
100,500,4705.1103,92.2218626538439,1844.2449999999997,93.73602574606345,2860.8645999999994,8.729321027433915
100,700,4065.7342,79.65526231315653,1880.2483,79.14021957969427,2185.4855,6.140928852109085
100,1000,3764.722299999999,79.57785006038637,1914.7776000000001,70.22448255131535,1849.9443999999999,48.4503737543203
200,100,23245.016799999998,116.01790947071771,1994.0188999999998,114.71925386539672,21250.997199999998,4.139297868533161
200,150,16278.638299999997,94.66341194176066,1978.2720000000002,94.3081605412102,14300.3658,3.2743077911384995
200,200,12803.4257,96.90123655334175,1966.3548999999998,97.40970162434772,10837.070200000002,3.955756783895095
200,300,9327.3531,56.439872874591146,1957.5185000000001,57.66305515906857,7369.8341,1.992052344805296
200,500,6592.5629,32.89779647281353,1975.1291,32.23945529747329,4617.4332,4.831830014486085
200,700,5363.227799999999,43.54971168880194,1915.4278000000002,47.674718622487305,3447.7993,23.95203895310603
200,1000,4818.5513,57.690777855448204,1943.5801999999999,33.0879930750315,2874.9705,38.052767028167594
350,100,36528.8591,34.198965031285766,2081.8668000000007,34.55691850588277,34446.99219999999,4.313459987835741
350,150,25172.1198,34.83522894299881,2074.7555999999995,34.26037533101791,23097.363800000003,1.8040949593143452
350,200,19514.998499999998,39.55129369495297,2082.8196999999996,38.89663559586846,17432.178399999997,3.619800368958317
350,300,13892.0494,56.877007153252336,2121.1133999999993,57.172640737798126,11770.935499999998,3.12800114556685
350,500,9350.078100000002,46.206156368196396,2090.9736,48.24056281963924,7259.104199999999,4.879909534680704
350,700,7432.687,67.24153691812171,2101.5459,65.30383146739729,5331.1404999999995,5.1723167869382225
350,1000,6504.804300000001,111.61839180195875,2075.8399,52.99384665002783,4428.9642,61.078402107091534
500,100,49860.9587,45.91531816301702,2222.1504999999997,46.75167345608536,47638.8076,2.180123503127472
500,150,34114.8811,74.53360838418126,2210.8760999999995,69.72568234708554,31904.0045,27.876675671607863
500,200,26274.3411,41.950659794705196,2244.6819000000005,42.145256483974535,24029.6587,4.535638802246167
500,300,18441.8519,64.35800297373014,2264.4680999999996,66.07872211141625,16177.383500000002,21.40870927268212
500,500,12122.564300000002,87.61011864067582,2220.2021999999997,79.74056330347531,9902.361599999998,15.682338999297519
500,700,9447.861700000001,51.95893681456543,2234.6176,51.56561209695211,7213.243700000001,5.6497692194755595
500,1000,8128.711099999999,104.2153176302152,2216.7459,53.02764535064071,5911.964900000001,79.05712115995638
1000,100,94333.13620000001,55.9181501279611,2712.3049,53.41865897782248,91620.83099999999,6.1620027768766255
1000,150,63910.887,41.54834491689767,2695.9554999999996,40.679913665509794,61214.9309,1.7197097591024606
1000,200,48702.8621,51.005054563139886,2674.847,40.334614376350366,46028.014899999995,18.474221273318175
1000,300,33487.3113,69.5107597379318,2648.6302,66.03853935358929,30838.6805,30.900875076605473
1000,500,21396.774599999997,48.453102423775455,2703.734299999999,49.079857952909535,18693.039899999996,4.424437878922081
1000,700,16189.887700000001,68.45572105634758,2692.6744,70.6413131676107,13497.212599999999,5.57476010844114
1000,1000,13429.204499999998,147.1206461696962,2654.7376000000004,44.52033399145951,10774.4665,134.2058064162404
