profile_total,sigma,t_enc_plus_dataenc_ms,t_enc_plus_dataenc_ms_std,t_tx1_ms,t_tx1_ms_std,t_tx2_ms,t_tx2_ms_std,t_dec_plus_datadec_ms,t_dec_plus_datadec_ms_std,sat_avg_cpu_by_quota_pct,sat_avg_cpu_by_quota_pct_std,sat_max_rss_mb,sat_max_rss_mb_std
20000,0.01,57.1090965,8.85633792225815,555.0786999,11.309597232814845,464.4370935999999,13.559882668897902,12.231373999999999,7.023938351529876,60.492000000000004,4.354032103183847,46.266,1.836495454814838
20000,0.49,1657.9551169,137.08364012688762,937.8017310000001,26.28688040288458,1222.8925633000001,61.47727992756552,17.0970528,5.391538829775695,75.17499999999998,0.9907713044783719,618.716,10.334168998467604
30000,0.01,74.5085423,8.447578183943689,567.6495554,10.870575798224703,497.06876610000006,47.54114646711932,19.8554096,8.742024802504057,63.93399999999999,2.4841819579088797,51.1,1.8226964152656424
30000,0.49,2517.2648382999996,187.42784044284969,1130.1885658,43.55659466191128,1628.2225028999999,124.87876336879083,14.969374300000002,1.574749333432118,76.078,0.6523598189138682,1008.008,36.91940134340689
40000,0.01,96.51829969999999,10.517674022123934,569.024291,7.236161452270471,497.47960759999995,17.41048441063072,18.5324052,9.906317557653216,66.28699999999999,1.9170524249482583,61.9,2.6645825188948455
40000,0.49,3314.8931147000003,186.79094836446137,1306.8822132999999,34.45525112976057,2047.0971023000002,145.21619582526412,11.493669800000001,2.463896661958532,75.68000000000002,0.9720310923239267,1256.0010000000002,62.62369793722927
50000,0.01,112.97938280000001,19.2955376699134,589.1295290999999,9.943134685639318,579.7024955999999,128.80532129580064,12.331904900000001,4.998466855621486,68.399,1.148868525501891,67.912,4.72241181318755
50000,0.49,4145.7307141,201.9926616017153,1455.5236459000002,14.604779171351133,2463.3107895000003,118.58328932667142,14.5586504,5.375656867480873,74.96400000000001,1.5203376817887078,1512.7440000000001,76.15867911436257
60000,0.01,134.9588961,20.64837331872602,589.6628115,12.81477086915109,564.3217723999999,95.08748186604663,14.858062100000001,6.837814481761039,68.236,4.524801284771151,66.124,4.131440964656818
60000,0.49,4660.3494068,175.8902760620192,1589.9499564000002,23.872732429799367,2807.6548224999997,165.26657463246826,15.925070100000003,4.071901923323478,75.268,0.8739285503467155,1670.976,70.36531882492494
