profile_total,sigma,run_idx,t_enc_plus_dataenc_ms,t_tx1_ms,t_tx2_ms,t_dec_plus_datadec_ms,sat_avg_cpu_by_quota_pct,sat_max_rss_mb
50000,0.01,7,94.632837,599.354034,538.613806,7.8704540000000005,68.9,58.81
50000,0.01,8,112.924221,581.727163,501.053061,9.422803,69.38,66.65
50000,0.01,9,111.707994,602.725349,514.344093,12.454279999999999,69.18,66.73
50000,0.01,10,107.52707000000001,582.172303,517.533782,16.842306,68.55,75.5
50000,0.49,1,4042.160643,1453.8315,2688.186603,13.221374,75.34,1495.58
50000,0.49,2,4049.0881019999997,1443.085438,2422.7022960000004,12.705184,75.19,1475.39
50000,0.49,3,4376.761053,1447.171464,2551.482451,19.530467,75.61,1505.45
50000,0.49,4,4203.272379999999,1464.572716,2454.243864,11.764542,74.37,1520.8
50000,0.49,5,3910.998948,1450.8992389999999,2368.526107,9.627783,75.48,1482.72
50000,0.49,6,4118.664846000001,1427.466339,2301.056966,10.789926,76.29,1539.87
50000,0.49,7,4524.750864,1468.2734289999999,2341.3019099999997,14.274767,71.68,1435.47
50000,0.49,8,3857.0702280000005,1471.465301,2497.052819,27.643643,77.02,1713.43
50000,0.49,9,4141.482711,1475.038175,2427.493089,11.046439,75.33,1491.23
50000,0.49,10,4233.057366,1453.432858,2581.06179,14.982379,73.33,1467.5
60000,0.01,1,123.022645,580.781684,511.854736,5.644181,69.55,69.73
60000,0.01,2,133.675514,580.898901,542.954082,21.226972999999997,69.55,68.0
60000,0.01,3,127.944953,574.509127,506.861159,16.040704,69.85,65.54
60000,0.01,4,126.977701,595.595234,506.305809,15.486773999999999,70.4,68.59
60000,0.01,5,131.65004000000002,604.531414,761.127766,9.620837,70.0,61.82
60000,0.01,6,121.504074,613.831833,529.962016,6.620537000000001,68.3,67.62
60000,0.01,7,133.139049,599.248265,721.921978,17.404812,69.77,61.0
60000,0.01,8,122.74419499999999,581.303193,537.672966,14.798604,70.13,69.0
60000,0.01,9,137.130222,582.358504,494.678,28.599087,69.35,71.0
60000,0.01,10,191.800568,583.56996,529.879212,13.138112,55.46,58.94
60000,0.49,1,4420.791064,1610.736516,2835.7034510000003,15.300605000000001,75.72,1674.32
60000,0.49,2,4911.642473999999,1582.42104,2802.3624449999998,21.164902,76.72,1605.06
60000,0.49,3,4841.617317,1625.286172,2758.245644,16.027892,74.09,1656.61
60000,0.49,4,4593.083937,1628.392044,2592.027572,21.102345,74.58,1665.13
60000,0.49,5,4809.36473,1577.377776,2726.565682,12.435315,74.13,1657.59
60000,0.49,6,4813.47725,1576.76025,2645.717079,19.04053,74.63,1655.88
60000,0.49,7,4500.088629,1571.6239620000001,3045.7656349999997,10.670494,75.4,1618.07
60000,0.49,8,4669.847869,1561.368329,3124.862252,19.411907,75.52,1653.79
60000,0.49,9,4594.909347000001,1569.999955,2814.475521,10.854201,75.96,1861.7
60000,0.49,10,4448.671451,1595.53352,2730.822944,13.24251,75.93,1661.61
